Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.4195735,24.16331658291457,3.7825077e-05,-5.696998425034492,-5.696998425034492,9.839715,0.9737502,0.0029594996,0.19864997,0.004932636,1.0
20000,1.4254744,23.865336658354114,-0.9082603,-5.444480560015683,-5.444480560015683,7.9764943,0.91222566,0.0029195605,0.19731864,0.0048662005,1.0
30000,1.4315072,24.66923076923077,-1.628361,-5.415298031079463,-5.415298031079463,5.362311,0.7808792,0.0028786706,0.1959557,0.004798188,1.0
40000,1.4379393,24.118090452261306,-2.0299087,-5.394647533120821,-5.394647533120821,4.6656394,0.74213904,0.0028378298,0.19459435,0.0047302567,1.0
50000,1.4432405,24.605128205128207,-2.3767085,-5.1400388290205274,-5.1400388290205274,4.0170183,0.64705145,0.00277745,0.19258167,0.0046298252,1.0
60000,1.4466144,24.507653061224488,-2.6457307,-5.181630210228721,-5.181630210228721,3.4804275,0.55483264,0.0027161043,0.19053684,0.0045277877,1.0
70000,1.4476396,24.26835443037975,-2.8563495,-4.950237934800643,-4.950237934800643,3.0900242,0.5103858,0.0026754092,0.18918034,0.004460098,1.0
80000,1.450201,24.458015267175572,-2.9502177,-4.583193618984319,-4.583193618984319,2.8738108,0.398127,0.0026339504,0.18779837,0.004391136,1.0
90000,1.452554,25.126903553299492,-3.0507953,-4.582614925845216,-4.582614925845216,2.6386423,0.31268895,0.0025728473,0.18576162,0.004289503,1.0
100000,1.4520499,24.73474801061008,-3.1955986,-4.421362004230805,-4.421362004230805,2.5411346,0.27104992,0.0025100142,0.18366717,0.0041849916,1.0
110000,1.4541595,24.63682864450128,-3.3363235,-4.313991595690067,-4.313991595690067,2.457395,0.25378913,0.0024688647,0.18229547,0.004116545,1.0
120000,1.4553722,24.46938775510204,-3.4509158,-4.097349357968978,-4.097349357968978,2.1730661,0.16320828,0.0024276504,0.18092164,0.004047991,1.0
130000,1.4544175,24.813953488372093,-3.3285906,-3.9322921348788635,-3.9322921348788635,1.9048555,0.159344,0.0023870347,0.17956784,0.0039804345,1.0
140000,1.4541343,25.225130890052355,-3.1977956,-3.776515492147661,-3.776515492147661,2.1042895,0.1553114,0.0023243576,0.17747861,0.0038761816,1.0
150000,1.4536265,24.362025316455696,-3.1504877,-3.836065161982669,-3.836065161982669,2.1313434,0.21073654,0.0022633001,0.1754433,0.0037746218,1.0
160000,1.4510922,24.83160621761658,-3.126145,-3.6567375419675843,-3.6567375419675843,1.9469577,0.12815267,0.0022212851,0.1740428,0.0037047367,1.0
170000,1.4510614,24.261964735516372,-3.0745828,-3.3798632968583093,-3.3798632968583093,2.0528302,0.16597125,0.0021801952,0.17267318,0.0036363907,1.0
180000,1.4528054,24.30126582278481,-2.994371,-3.2747360622581048,-3.2747360622581048,1.9382598,0.14072753,0.0021397595,0.1713253,0.003569134,1.0
190000,1.4531262,24.007537688442213,-2.8007395,-2.8471705717475793,-2.8471705717475793,1.9073491,0.16827548,0.0020794873,0.16931626,0.0034688804,1.0
200000,1.452634,24.56777493606138,-2.729165,-2.7534403983894213,-2.7534403983894213,1.6289545,0.1747323,0.0020185253,0.16728415,0.0033674806,1.0
210000,1.4535395,24.44529262086514,-2.6998374,-2.59058899248526,-2.59058899248526,1.8813488,0.17390427,0.0019767147,0.16589054,0.0032979352,1.0
220000,1.452166,24.573979591836736,-2.5977726,-2.2312776571344535,-2.2312776571344535,1.6754591,0.20510942,0.00193654,0.16455132,0.0032311107,1.0
230000,1.4508884,24.75515463917526,-2.4757073,-2.247209954844036,-2.247209954844036,1.7524791,0.17361993,0.0018752678,0.16250889,0.003129195,1.0
240000,1.4484386,24.698453608247423,-2.3938274,-2.018610559576275,-2.018610559576275,1.8352553,0.2412969,0.00181308,0.16043602,0.003025756,1.0
250000,1.447544,23.870646766169155,-2.174807,-1.4417017077776924,-1.4417017077776924,1.8143411,0.25206685,0.0017739398,0.15913135,0.0029606533,1.0
260000,1.4466969,24.06015037593985,-2.0709329,-1.4115889438411646,-1.4115889438411646,1.8030868,0.16838248,0.0017328152,0.15776053,0.0028922488,1.0
270000,1.4438007,24.803970223325063,-1.9221127,-1.1280171006228439,-1.1280171006228439,1.6247612,0.19778043,0.0016717624,0.15572542,0.002790698,1.0
280000,1.4402823,25.37087912087912,-1.8709329,-1.083073876206837,-1.083073876206837,1.7516048,0.18027376,0.00160851,0.15361698,0.002685488,1.0
290000,1.438727,25.844086021505376,-1.5670648,-0.22546341312155327,-0.22546341312155327,2.053591,0.20940536,0.001566195,0.1522065,0.002615104,1.0
300000,1.4359505,25.073107049608357,-1.4167018,-0.15304064198200137,-0.15304064198200137,1.9855046,0.19891243,0.0015232152,0.15077385,0.002543614,1.0
310000,1.4343853,25.310526315789474,-1.3973583,0.019753226637840272,0.019753226637840272,1.8589497,0.22297017,0.00148197,0.14939898,0.0024750095,1.0
320000,1.432265,26.08108108108108,-1.309882,0.15842335997401058,0.15842335997401058,1.9585032,0.23576409,0.00143949,0.14798301,0.002404352,1.0
330000,1.4302998,25.50132625994695,-1.1726341,0.2753601475403859,0.2753601475403859,1.9858139,0.20008236,0.0013749027,0.1458301,0.0022969213,1.0
340000,1.4280837,25.74866310160428,-0.9798305,0.6830123524296092,0.6830123524296092,2.1493266,0.16237262,0.0013108504,0.14369497,0.0021903808,1.0
350000,1.4240323,25.424802110817943,-0.91496843,0.8311279159737136,0.8311279159737136,2.1615698,0.24674828,0.0012687654,0.14229219,0.0021203791,1.0
360000,1.4208829,26.120218579234972,-0.68867856,1.2980283729386914,1.2980283729386914,2.2372472,0.24677427,0.0012265103,0.14088365,0.0020500948,1.0
370000,1.4177572,26.002695417789756,-0.53809875,1.5017026799387045,1.5017026799387045,2.0727444,0.20331638,0.001183305,0.13944347,0.0019782304,1.0
380000,1.4152741,26.273972602739725,-0.32450783,1.9064312637503682,1.9064312637503682,2.2114415,0.22938417,0.001139565,0.1379855,0.001905476,1.0
390000,1.4125513,26.594666666666665,-0.25384703,2.238319085283174,2.238319085283174,2.2818315,0.25758708,0.0010731575,0.1357719,0.0017950184,1.0
400000,1.4092523,26.532763532763532,-0.011787556,2.431723087289176,2.431723087289176,2.1829875,0.22425734,0.0010073852,0.1335795,0.0016856167,1.0
410000,1.4072474,26.417582417582416,0.12693582,2.7523957953877645,2.7523957953877645,2.1715991,0.225814,0.00096335507,0.13211182,0.0016123804,1.0
420000,1.405274,26.581267217630852,0.23345196,2.8251028872061696,2.8251028872061696,2.1550462,0.22188371,0.00091976,0.13065866,0.0015398675,1.0
430000,1.403665,26.005405405405405,0.4254318,3.3026954077385566,3.3026954077385566,2.3285353,0.225081,0.00087547506,0.12918252,0.0014662067,1.0
440000,1.4022883,27.053221288515406,0.45106235,3.4128487888681756,3.4128487888681756,2.1526065,0.21125604,0.00083124504,0.12770817,0.0013926371,1.0
450000,1.4005349,27.217514124293785,0.46324214,3.592448328246533,3.592448328246533,2.4306717,0.2275563,0.000786545,0.12621816,0.0013182865,1.0
460000,1.3987248,27.0561797752809,0.6152003,3.891140205639132,3.891140205639132,2.314811,0.25974017,0.000741095,0.12470317,0.0012426883,1.0
470000,1.3970937,26.10483870967742,0.6849289,3.5903760992737643,3.5903760992737643,2.3688083,0.26256633,0.00067484274,0.12249477,0.001132488,1.0
480000,1.3946838,27.01129943502825,0.71175104,3.812194122987635,3.812194122987635,2.4259949,0.23013858,0.00060849026,0.12028303,0.0010221215,1.0
490000,1.392401,26.727777777777778,0.86268187,3.955278099986655,3.955278099986655,2.4180677,0.22792844,0.0005635952,0.11878652,0.0009474463,1.0
500000,1.3904911,26.424657534246574,0.9064974,4.009833298970575,4.009833298970575,2.2442257,0.23294738,0.00051976525,0.117325515,0.0008745424,1.0
510000,1.3890978,26.574585635359117,0.9040696,4.148666081754542,4.148666081754542,2.271798,0.22035545,0.00047548505,0.1158495,0.0008008902,1.0
520000,1.387968,26.242506811989102,1.0348065,4.632004115334649,4.632004115334649,2.4706357,0.24802308,0.00043138507,0.11437949,0.00072753726,1.0
530000,1.3864044,26.454794520547946,1.1130964,4.59215820309234,4.59215820309234,2.3704193,0.261359,0.00038757015,0.11291902,0.00065465824,1.0
540000,1.384977,26.805013927576603,1.1252882,4.681876517936048,4.681876517936048,2.4874146,0.2937629,0.00034361507,0.11145382,0.00058154605,1.0
550000,1.3840748,27.154929577464788,1.1739296,4.957177678799965,4.957177678799965,2.7447102,0.2700584,0.00027677754,0.10922591,0.00047037326,1.0
560000,1.3826635,26.844444444444445,1.1439204,4.804912161495951,4.804912161495951,2.5328784,0.27142558,0.00020939016,0.10697965,0.0003582854,1.0
570000,1.3818666,27.260623229461757,1.0968548,4.6739612393946555,4.6739612393946555,2.4303825,0.26214048,0.00016396017,0.105465345,0.00028272014,1.0
580000,1.3811798,26.816666666666666,1.2426741,4.9546211721168625,4.9546211721168625,2.3485868,0.25699213,0.0001195651,0.10398552,0.00020887649,1.0
590000,1.380626,27.30311614730878,1.104939,4.661292399672881,4.661292399672881,2.4656367,0.2249141,7.47751e-05,0.10249252,0.0001343757,1.0
600000,1.3803076,26.425414364640883,1.2609639,5.014819571055656,5.014819571055656,2.623032,0.25673693,2.9435023e-05,0.10098118,5.8960075e-05,1.0
